G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,20.59876935,41.65465971,-62.25342907,-0.517876099,0.53134271,-0.013466611
0,0,0,0,19.65392307,42.40087093,-62.05479399,-0.52275288,0.526702855,-0.003949976
0,0,0,0,18.70422758,43.13662028,-61.84084785,-0.527500679,0.521933045,0.005567634
0,0,0,0,17.74991721,43.86172623,-61.61164344,-0.532118325,0.517034455,0.01508387
0,0,0,0,16.79122743,44.57600987,-61.3672373,-0.536604678,0.512008295,0.024596384
0,0,0,0,15.82839477,45.27929496,-61.10768973,-0.540958633,0.506855804,0.034102829
0,0,0,0,14.86165681,45.97140798,-60.83306479,-0.545179114,0.501578254,0.04360086
0,0,0,0,13.89125206,46.65217816,-60.54343022,-0.54926508,0.496176947,0.053088133
0,0,0,0,12.91741997,47.32143753,-60.2388575,-0.553215523,0.490653216,0.062562307
0,0,0,0,11.94040081,47.97902095,-59.91942176,-0.557029468,0.485008424,0.072021045
0,0,0,0,10.96043564,48.62476619,-59.58520183,-0.560705975,0.479243963,0.081462012
0,0,0,0,9.977766265,49.25851391,-59.23628017,-0.564244136,0.473361256,0.09088288
0,0,0,0,8.992635133,49.88010775,-58.87274288,-0.567643078,0.467361754,0.100281324
0,0,0,0,8.005285315,50.48939433,-58.49467964,-0.570901962,0.461246937,0.109655025
0,0,0,0,7.015960425,51.08622332,-58.10218375,-0.574019985,0.455018315,0.11900167
0,0,0,0,6.024904564,51.67044747,-57.69535203,-0.576996377,0.448677423,0.128318954
0,0,0,0,5.03236226,52.24192263,-57.27428489,-0.579830404,0.442225827,0.137604576
0,0,0,0,4.038578407,52.80050779,-56.83908619,-0.582521366,0.435665119,0.146856247
0,0,0,0,3.043798208,53.34606513,-56.38986333,-0.585068599,0.428996917,0.156071683
0,0,0,0,2.04826711,53.87846004,-55.92672715,-0.587471476,0.422222866,0.16524861
0,0,0,0,1.052230745,54.39756117,-55.44979191,-0.589729403,0.415344638,0.174384765
0,0,0,0,0.055934869,54.90324042,-54.95917529,-0.591841823,0.408363929,0.183477893
0,0,0,0,-0.940374694,55.39537305,-54.45499835,-0.593808214,0.401282464,0.192525751
0,0,0,0,-1.936452121,55.8738376,-53.93738548,-0.595628092,0.394101987,0.201526105
0,0,0,0,-2.932051645,56.33851605,-53.4064644,-0.597301008,0.386824272,0.210476736
0,0,0,0,-3.926927616,56.78929372,-52.8623661,-0.598826549,0.379451114,0.219375435
0,0,0,0,-4.920834563,57.2260594,-52.30522483,-0.600204338,0.371984332,0.228220007
0,0,0,0,-5.913527255,57.64870532,-51.73517806,-0.601434036,0.364425768,0.237008268
0,0,0,0,-6.90476076,58.0571272,-51.15236644,-0.602515339,0.356777288,0.245738051
0,0,0,0,-7.894290505,58.45122427,-50.55693377,-0.60344798,0.349040778,0.254407202
0,0,0,0,-8.881872339,58.8308993,-49.94902696,-0.604231729,0.341218147,0.263013582
0,0,0,0,-9.86726259,59.19605859,-49.328796,-0.604866393,0.333311326,0.271555067
0,0,0,0,-10.85021813,59.54661206,-48.69639393,-0.605351815,0.325322266,0.280029549
0,0,0,0,-11.83049642,59.88247321,-48.05197679,-0.605687876,0.317252937,0.288434939
0,0,0,0,-12.80785561,60.20355918,-47.39570357,-0.605874492,0.309105331,0.296769161
0,0,0,0,-13.78205453,60.50979073,-46.7277362,-0.605911618,0.300881457,0.30503016
0,0,0,0,-14.75285283,60.80109231,-46.04823948,-0.605799244,0.292583346,0.313215898
0,0,0,0,-15.72001096,61.07739205,-45.35738109,-0.605537398,0.284213044,0.321324354
0,0,0,0,-16.68329031,61.33862177,-44.65533147,-0.605126144,0.275772616,0.329353528
0,0,0,0,-17.64245318,61.58471703,-43.94226384,-0.604565585,0.267264146,0.337301439
